Pattern,Length,GC_Content,Repetitive,KMP,KMP_StdDev,Boyer-Moore,Boyer-Moore_StdDev,Bit-Parallel,Bit-Parallel_StdDev,Hybrid (Python),Hybrid (Python)_StdDev,Hybrid (C++),Hybrid (C++)_StdDev
Len200_GC0.3_Rep,200,0.5,True,4304.00000186637,1604.8866747228385,140.29999874765053,11.00982879034463,N/A,N/A,3680.6999996770173,40.333495984124085,140.99999680183828,42.950698072581325
Len200_GC0.5_NonRep,200,0.5,False,3664.899995783344,67.74647643386612,141.39999984763563,6.170866829292098,N/A,N/A,154.40000424860045,5.0576268904796216,140.60000103199854,4.417496653447342
Len200_GC0.5_Rep,200,0.5,True,3691.0999988322146,25.41539892776009,155.1000023027882,28.41747042702784,N/A,N/A,3848.2000018120743,1531.352631601095,142.40000018617138,10.17935045463981
Len200_GC0.7_NonRep,200,0.7,False,3669.3000001832843,591.9355325333765,168.6000032350421,14.412240348171792,N/A,N/A,3520.30000067316,1358.1176810515767,159.29999790387228,7.369186254350326
Len200_GC0.7_Rep,200,0.5,True,5846.599997312296,1318.211974893151,135.09999553207308,5.5556572568001155,N/A,N/A,3825.5999970715493,647.7610953459753,141.39999984763563,6.427048159578258
Len500_GC0.3_NonRep,500,0.3,False,3889.999999955762,1131.6940993207686,121.8999968841672,7.084677026427608,N/A,N/A,153.1999951112084,3.4759242495710314,120.1999984914437,6.567421053613811
Len500_GC0.3_Rep,500,0.5,True,3692.8000045008957,628.0232257597294,191.59999646944925,49.49960622680834,N/A,N/A,3743.500004929956,620.19613054075,118.70000162161887,25.52386615416044
Len500_GC0.5_NonRep,500,0.5,False,3651.8999986583367,531.5598699992905,131.79999950807542,56.153498160692315,N/A,N/A,168.59999595908448,76.44041191360778,130.69999840809032,46.91314262232677
Len500_GC0.5_Rep,500,0.5,True,4483.69999503484,910.7135858894926,121.10000534448773,21.176768736590486,N/A,N/A,4026.1000031023286,339.799439199979,117.3999989987351,25.002057008900533
Len500_GC0.7_NonRep,500,0.7,False,3482.699998130556,630.0428853342019,126.09999976120889,10.924769497387699,N/A,N/A,3293.699999630917,500.6094926660686,3360.800001246389,787.5016676540621
Len500_GC0.7_Rep,500,0.5,True,4812.59999651229,1381.5185118938857,124.09999908413738,2.436456669038459,N/A,N/A,3713.699996296782,1651.0760029173073,237.19999444438145,24.6936672992513
Len800_GC0.3_NonRep,800,0.3,False,5059.200004325248,1007.2749959084797,235.40000256616622,22.458940974899676,N/A,N/A,338.9999983482994,23.74060331529807,239.10000163596123,51.48673779667026
Len800_GC0.3_Rep,800,0.5,True,3949.1999996243976,1728.311768654933,229.199999012053,36.98178969783244,N/A,N/A,5918.799994105939,1382.5102640251132,205.40000696200877,13.383115489430784
Len800_GC0.5_NonRep,800,0.5,False,3721.3000032352284,1591.0852746786481,113.29999688314274,2.792555898375685,N/A,N/A,164.19999883510172,8.237174408348944,112.80000035185367,17.81345364209615
Len800_GC0.5_Rep,800,0.5,True,3670.8999978145584,26.364694056547837,113.00000187475234,4.365591095630633,N/A,N/A,3753.6000018008053,1500.6860430542956,119.89999620709568,8.103235446735175
Len800_GC0.7_NonRep,800,0.7,False,3750.5000000237487,1012.9408913865695,123.80000407574698,4.761965685242955,N/A,N/A,3826.899999694433,1146.9311226848947,3661.600007035304,1554.2334995990968
Len800_GC0.7_Rep,800,0.5,True,3681.9000015384518,68.82316520275127,112.99999459879473,29.631726878361548,N/A,N/A,4078.099998878315,1272.6727983583191,197.9000007850118,9.367680923945768
Len1000_GC0.3_NonRep,1000,0.3,False,3292.50000504544,270.4969470988945,112.80000035185367,2.249895434477072,N/A,N/A,178.39999782154337,7.360513715754187,112.20000305911526,1.8484416432043966
Len1000_GC0.3_Rep,1000,0.5,True,3675.799998745788,15.482656206598024,118.29999857582152,4.866417482175769,N/A,N/A,3751.599993847776,93.14019687516519,111.29999620607123,7.767489022968117
Len1000_GC0.5_NonRep,1000,0.5,False,3253.700000641402,29.062578239787683,111.90000077476725,5.470029458719608,N/A,N/A,174.0000006975606,4.963213125987959,114.99999527586624,5.304366035499654
Len1000_GC0.5_Rep,1000,0.5,True,3674.699997645803,25.109126171287418,111.59999849041924,4.507093169008194,N/A,N/A,3764.6000055246986,43.612015210146616,111.4999977289699,5.654183610154189
Len1000_GC0.7_NonRep,1000,0.7,False,3659.1999960364774,387.0270043069266,117.1000039903447,5.77195704619535,N/A,N/A,3869.5999974152073,417.4139949874147,3692.1999999321997,504.44640012324135
Len1000_GC0.7_Rep,1000,0.5,True,3679.3999970541336,156.97078359439624,111.00000119768083,8.82706880470942,N/A,N/A,3736.7000040831044,36.02044790196623,111.50000500492752,3.7818575492637403
